Member_ID,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,Age_Range,Generation,MOBILE_NO,UUID,Total_point,FirstPurchaseDate
M000501,Anthony,Rodriguez,M,1973-01-15,45-54,Gen X,0843999060,74589542-5895,3255,2023-01-28
M000502,Michael,Brown,M,1965-08-10,55+,Gen X,0853555463,12022353-3742,4523,2025-02-13
M000503,John,Smith,M,1968-03-31,55+,Gen X,0873789750,90022258-3539,6084,2021-04-06
M000504,Jennifer,Hernandez,F,1966-09-28,55+,Gen X,0893903841,18060088-1979,5824,2022-12-18
M000505,David,Davis,M,1991-10-03,25-34,Millennial,0884940527,96522918-6690,7187,2022-01-23
M000506,Susan,Lopez,F,1997-11-04,25-34,Gen Z,0815300062,75136149-8168,9159,2023-09-23
M000507,Patricia,Martinez,F,1994-06-08,25-34,Millennial,0856662763,53443711-8674,4510,2025-09-06
M000508,Christopher,Williams,M,1977-10-17,45-54,Gen X,0845346140,82693120-7014,7439,2021-11-17
M000509,Betty,Williams,F,2004-04-27,18-24,Gen Z,0858865345,93241474-4912,5254,2021-11-18
M000510,Patricia,Rodriguez,F,1962-07-10,55+,Boomer,0884016756,30687181-5638,5285,2024-11-11
M000511,Michael,Rodriguez,M,1964-02-15,55+,Boomer,0815875684,27418007-3926,512,2022-02-16
M000512,Michael,Smith,M,1969-04-25,55+,Gen X,0862156850,98304696-9026,8615,2025-12-19
M000513,Mary,Garcia,F,1991-05-08,25-34,Millennial,0819512542,11756387-4419,8051,2021-08-26
M000514,William,Rodriguez,M,1979-09-10,45-54,Gen X,0817824896,92803389-5355,8667,2021-12-03
M000515,Jennifer,Brown,F,1973-01-28,45-54,Gen X,0823586205,41006711-9710,6313,2022-04-17
M000516,Daniel,Hernandez,M,1994-06-01,25-34,Millennial,0884912498,65725133-2728,9446,2023-11-15
M000517,Jennifer,Williams,F,1994-06-05,25-34,Millennial,0863896091,77738718-6529,2591,2025-10-15
M000518,Susan,Rodriguez,F,1985-09-06,35-44,Millennial,0865343779,94992144-8054,5299,2025-04-19
M000519,Richard,Wilson,M,1970-11-09,55+,Gen X,0858319528,70720566-8331,6505,2021-12-02
M000520,Nancy,Smith,F,1973-01-08,45-54,Gen X,0850512501,10881653-5920,3635,2022-06-01
M000521,Karen,Rodriguez,F,1970-05-31,55+,Gen X,0886720441,30765467-2544,618,2024-06-05
M000522,Robert,Garcia,M,1968-11-12,55+,Gen X,0841271945,44392465-5920,1505,2025-07-19
M000523,Anthony,Johnson,M,1985-07-11,35-44,Millennial,0833206579,75535348-2562,9752,2023-01-24
M000524,Jennifer,Wilson,F,2002-09-21,18-24,Gen Z,0856698401,68291349-7824,1974,2022-12-21
M000525,Matthew,Wilson,M,1965-09-06,55+,Gen X,0817264930,50907334-9591,674,2023-09-19
M000526,William,Rodriguez,M,1961-11-28,55+,Boomer,0830561818,16780654-7436,7300,2025-10-17
M000527,James,Miller,M,1987-08-26,35-44,Millennial,0829865888,27742113-6507,1352,2024-10-24
M000528,Christopher,Miller,M,1990-01-30,35-44,Millennial,0863489393,77353558-8118,2136,2022-08-18
M000529,Thomas,Miller,M,1964-06-01,55+,Boomer,0836320002,85318641-9589,4034,2022-02-09
M000530,Susan,Hernandez,F,1970-02-02,55+,Gen X,0825103503,65510043-7939,5984,2023-04-11
M000531,Nancy,Hernandez,F,2004-10-05,18-24,Gen Z,0832717056,56938140-8245,2389,2024-01-27
M000532,James,Hernandez,M,1982-12-27,35-44,Millennial,0821517819,25082279-1893,3982,2025-03-28
M000533,Mary,Garcia,F,1962-01-24,55+,Boomer,0850952251,70406241-8719,372,2023-04-24
M000534,James,Rodriguez,M,1972-11-06,45-54,Gen X,0883658696,74830696-3315,301,2024-10-22
M000535,Robert,Williams,M,2002-10-17,18-24,Gen Z,0836936968,92941828-5444,869,2024-11-01
M000536,Richard,Hernandez,M,1988-04-09,35-44,Millennial,0898597172,58347794-2767,312,2023-11-13
M000537,Richard,Rodriguez,M,1961-01-30,55+,Boomer,0852339783,75050252-9709,1442,2022-04-17
M000538,Karen,Lopez,F,2005-02-18,18-24,Gen Z,0843204410,81056927-5995,5465,2024-07-24
M000539,John,Garcia,M,1962-09-22,55+,Boomer,0857698045,93917080-5953,3869,2025-05-26
M000540,Matthew,Jones,M,1982-03-01,35-44,Millennial,0884482698,47606981-4695,2485,2023-07-22
M000541,Michael,Lopez,M,1981-06-23,35-44,Millennial,0892201431,93956490-4726,6837,2022-10-05
M000542,Elizabeth,Martinez,F,1984-07-29,35-44,Millennial,0882777382,27686156-4387,2270,2025-09-22
M000543,David,Jones,M,1961-03-25,55+,Boomer,0880303981,28153282-8046,2378,2025-03-11
M000544,Christopher,Rodriguez,M,1998-12-08,25-34,Gen Z,0852627226,29531743-1483,5221,2024-07-10
M000545,Betty,Anderson,F,1965-10-31,55+,Gen X,0830395330,35224021-2749,2155,2022-01-25
M000546,Nancy,Martinez,F,1966-11-22,55+,Gen X,0890042177,41163012-4783,427,2023-02-23
M000547,Linda,Rodriguez,F,1967-07-23,55+,Gen X,0897183615,60191981-4014,6348,2024-08-05
M000548,James,Brown,M,2003-08-14,18-24,Gen Z,0812015179,46219821-7767,3646,2022-04-03
M000549,Thomas,Anderson,M,1966-07-13,55+,Gen X,0853606752,71410640-5043,7005,2024-01-20
M000550,Betty,Garcia,F,1980-05-07,45-54,Gen X,0886763742,89699265-9784,8605,2021-09-04
M000551,Sarah,Anderson,F,2003-11-06,18-24,Gen Z,0879619091,82191574-7481,643,2025-07-17
M000552,James,Jones,M,1977-08-26,45-54,Gen X,0850876565,48374806-8558,2727,2024-05-20
M000553,Anthony,Rodriguez,M,1996-07-18,25-34,Millennial,0896718276,70625891-2481,8202,2021-03-25
M000554,Richard,Miller,M,1985-07-28,35-44,Millennial,0813343647,34008676-8433,9671,2022-08-03
M000555,Susan,Lopez,F,1964-03-21,55+,Boomer,0832010905,26581824-2494,1870,2024-11-12
M000556,Christopher,Lopez,M,1981-06-28,35-44,Millennial,0892150984,31461370-7204,9016,2024-01-25
M000557,William,Martinez,M,1964-01-04,55+,Boomer,0831759927,29408873-3930,840,2024-05-10
M000558,Elizabeth,Hernandez,F,1995-01-12,25-34,Millennial,0827659164,37226295-1057,4146,2021-08-16
M000559,Karen,Wilson,F,2005-05-03,18-24,Gen Z,0876231992,41927492-4553,9647,2024-08-14
M000560,Jennifer,Martinez,F,1968-03-16,55+,Gen X,0842844845,83462947-5556,9134,2022-01-06
M000561,John,Hernandez,M,1984-02-26,35-44,Millennial,0829511823,14352961-5889,5424,2021-01-04
M000562,Linda,Williams,F,1962-10-27,55+,Boomer,0892019078,98707799-3906,7460,2025-06-02
M000563,Mark,Jones,M,1985-09-08,35-44,Millennial,0860860378,19082067-8001,9018,2021-05-16
M000564,Michael,Lopez,M,1988-09-27,35-44,Millennial,0880739820,65533646-9595,3438,2022-10-02
M000565,Daniel,Lopez,M,1965-06-23,55+,Gen X,0821766833,74916146-5705,6996,2025-06-09
M000566,Linda,Martinez,F,1969-07-08,55+,Gen X,0879753731,94806492-9154,8069,2022-10-08
M000567,Patricia,Smith,F,1999-02-28,25-34,Gen Z,0872395893,93947919-2932,3396,2025-07-14
M000568,William,Garcia,M,1970-04-27,55+,Gen X,0838499515,11516293-4296,4614,2023-02-10
M000569,Karen,Rodriguez,F,1986-03-12,35-44,Millennial,0825278911,54732472-6592,6488,2025-10-01
M000570,James,Garcia,M,1984-04-05,35-44,Millennial,0874304823,73686372-1582,2224,2024-03-21
M000571,Karen,Garcia,F,1976-08-18,45-54,Gen X,0817519183,79937264-5904,9256,2023-09-18
M000572,James,Martinez,M,1962-10-03,55+,Boomer,0857458790,18886963-3446,4595,2021-06-13
M000573,Daniel,Martinez,M,1981-12-11,35-44,Millennial,0889885300,25682621-6050,5152,2021-05-14
M000574,Thomas,Brown,M,1982-07-28,35-44,Millennial,0850618137,39009803-9603,4953,2022-02-12
M000575,Mark,Brown,M,2000-07-27,25-34,Gen Z,0877913458,13346688-8907,8192,2022-04-11
M000576,Betty,Anderson,F,1972-10-11,45-54,Gen X,0853934556,29232735-2609,8456,2022-04-24
M000577,Thomas,Miller,M,1960-06-27,55+,Boomer,0825547243,10551617-6095,721,2025-02-11
M000578,Mary,Johnson,F,1972-04-15,45-54,Gen X,0851940463,13017249-6114,3438,2023-04-07
M000579,Elizabeth,Rodriguez,F,1985-08-02,35-44,Millennial,0825790828,46595028-3446,2580,2023-02-01
M000580,James,Rodriguez,M,1983-06-08,35-44,Millennial,0852746321,46379997-3319,4641,2025-04-06
M000581,Robert,Martinez,M,1984-06-12,35-44,Millennial,0869545378,16808353-3131,475,2024-11-02
M000582,Richard,Smith,M,2000-08-05,25-34,Gen Z,0862602177,34022690-8304,5826,2023-06-27
M000583,Anthony,Wilson,M,1963-06-21,55+,Boomer,0820542212,72504573-3159,1522,2024-02-15
M000584,Lisa,Hernandez,F,1960-07-26,55+,Boomer,0873155598,41097470-4666,2354,2025-05-12
M000585,Linda,Lopez,F,1963-10-03,55+,Boomer,0853588695,70838623-8987,495,2021-08-04
M000586,Sarah,Davis,F,1995-10-20,25-34,Millennial,0856790372,91126594-3087,8322,2021-07-27
M000587,William,Rodriguez,M,1965-02-12,55+,Gen X,0850549608,81503899-8552,6566,2025-07-08
M000588,Christopher,Williams,M,1975-09-03,45-54,Gen X,0818866414,55729880-4411,9682,2024-07-19
M000589,Karen,Lopez,F,1990-12-16,35-44,Millennial,0898934311,99872888-2276,9407,2024-02-19
M000590,Susan,Rodriguez,F,1999-07-28,25-34,Gen Z,0833645674,51343854-7648,1140,2025-02-22
M000591,Susan,Davis,F,1964-04-16,55+,Boomer,0818252004,22151134-4565,2276,2025-11-26
M000592,Mark,Williams,M,1964-01-04,55+,Boomer,0870797197,81303949-5775,6389,2025-10-15
M000593,James,Hernandez,M,1985-10-13,35-44,Millennial,0886541203,50876026-8122,5640,2021-10-01
M000594,Linda,Anderson,F,1988-02-12,35-44,Millennial,0859556257,83670115-1870,13,2025-06-04
M000595,Mary,Brown,F,1978-03-23,45-54,Gen X,0889210454,62917798-6212,6271,2024-07-14
M000596,Matthew,Williams,M,1976-01-06,45-54,Gen X,0835263378,84547422-7301,5902,2024-03-10
M000597,David,Smith,M,2001-04-14,18-24,Gen Z,0812108265,29326800-8974,7155,2022-02-05
M000598,Sarah,Wilson,F,1961-05-16,55+,Boomer,0867137046,93650995-3945,7444,2025-07-18
M000599,Jessica,Garcia,F,1991-12-09,25-34,Millennial,0867011913,91144449-1121,9468,2024-12-08
M000600,Jessica,Rodriguez,F,1969-09-13,55+,Gen X,0814491176,15082158-8917,6038,2021-10-16
M000601,David,Lopez,M,1972-10-26,45-54,Gen X,0872402697,79383794-2281,8574,2025-02-08
M000602,Lisa,Lopez,F,1963-04-13,55+,Boomer,0820479977,95052118-9834,9496,2023-10-02
M000603,Karen,Wilson,F,2005-07-13,18-24,Gen Z,0870939515,78808477-8687,9403,2023-07-12
M000604,Elizabeth,Williams,F,2003-03-21,18-24,Gen Z,0890213415,50811697-5267,1006,2024-10-06
M000605,Matthew,Jones,M,1967-03-07,55+,Gen X,0848495745,75063411-2351,2077,2025-02-28
M000606,Elizabeth,Williams,F,1966-10-28,55+,Gen X,0846939015,44488013-1232,1827,2025-03-19
M000607,Matthew,Davis,M,1982-12-17,35-44,Millennial,0845064728,41701674-8944,2962,2025-01-11
M000608,David,Martinez,M,1996-07-02,25-34,Millennial,0865424925,61427803-4898,7211,2022-04-19
M000609,Mary,Hernandez,F,1990-01-14,35-44,Millennial,0817049544,32494944-8602,6533,2024-05-16
M000610,Richard,Hernandez,M,1960-09-03,55+,Boomer,0873698335,45248951-3378,8690,2024-01-10
M000611,Jessica,Hernandez,F,1985-06-17,35-44,Millennial,0815505291,23068017-9704,5797,2024-10-21
M000612,Susan,Jones,F,1989-01-23,35-44,Millennial,0844271680,97824468-7408,7554,2022-12-22
M000613,Christopher,Garcia,M,1962-04-02,55+,Boomer,0834148004,52046364-9972,173,2021-02-01
M000614,Jennifer,Rodriguez,F,1999-03-27,25-34,Gen Z,0869853349,57179735-4594,4641,2023-04-02
M000615,Daniel,Johnson,M,2002-05-11,18-24,Gen Z,0898128100,39101720-2995,1965,2021-10-05
M000616,Lisa,Wilson,F,1964-06-04,55+,Boomer,0834799223,24877375-4018,4150,2023-08-22
M000617,Matthew,Davis,M,1988-08-08,35-44,Millennial,0899600963,53406567-5216,2653,2021-05-25
M000618,Richard,Miller,M,1985-02-13,35-44,Millennial,0844660198,45522715-3915,7218,2021-08-07
M000619,Linda,Hernandez,F,1975-01-22,45-54,Gen X,0829310253,82562419-8065,3578,2025-11-04
M000620,Betty,Jones,F,2000-02-23,25-34,Gen Z,0819787090,19450582-5105,7305,2021-08-05
M000621,John,Hernandez,M,1981-10-31,35-44,Millennial,0830348410,54269149-7411,9414,2021-09-23
M000622,Sarah,Miller,F,1981-02-09,45-54,Millennial,0882494849,40312650-1054,6298,2024-02-19
M000623,Susan,Hernandez,F,1986-08-22,35-44,Millennial,0817408103,94862181-2485,5985,2025-06-03
M000624,Margaret,Wilson,F,1987-04-18,35-44,Millennial,0837262368,33705307-1644,6294,2022-05-23
M000625,Jennifer,Hernandez,F,1961-09-19,55+,Boomer,0875297400,21390049-8175,3104,2022-01-07
M000626,Anthony,Martinez,M,1990-07-07,35-44,Millennial,0862179495,18454727-9856,5041,2024-09-27
M000627,Mary,Smith,F,1985-02-15,35-44,Millennial,0855327823,15746469-7643,1936,2022-11-22
M000628,Lisa,Anderson,F,1972-01-02,45-54,Gen X,0887758465,41270805-2180,604,2022-08-21
M000629,Thomas,Martinez,M,2003-11-07,18-24,Gen Z,0897078639,27520478-1235,2822,2021-05-27
M000630,Thomas,Martinez,M,1995-05-15,25-34,Millennial,0818584245,24271532-2870,8145,2025-10-08
M000631,Mark,Brown,M,1978-09-26,45-54,Gen X,0863956682,53518077-2979,9436,2025-03-11
M000632,Mark,Smith,M,1968-12-21,55+,Gen X,0855030548,18485498-2978,4487,2022-07-06
M000633,Karen,Williams,F,1977-11-13,45-54,Gen X,0888112812,15462513-3185,1637,2025-07-25
M000634,John,Davis,M,2001-03-08,25-34,Gen Z,0810969588,34080385-2460,9727,2023-07-23
M000635,Betty,Williams,F,1992-12-30,25-34,Millennial,0895875952,46366259-9570,7379,2024-04-06
M000636,Daniel,Williams,M,1960-07-09,55+,Boomer,0892147935,21814004-5934,5699,2024-01-18
M000637,James,Johnson,M,1973-01-29,45-54,Gen X,0893070162,58573570-9842,8315,2022-08-25
M000638,Robert,Smith,M,1994-01-15,25-34,Millennial,0830027622,73674613-9151,2888,2022-11-02
M000639,Matthew,Garcia,M,1987-11-28,35-44,Millennial,0868340640,43739891-6477,7424,2021-02-24
M000640,Christopher,Williams,M,1996-02-27,25-34,Millennial,0875103838,79109207-2901,1160,2022-12-15
M000641,Jessica,Brown,F,1962-10-06,55+,Boomer,0840878564,24781783-6343,3731,2021-04-24
M000642,Patricia,Miller,F,1992-02-05,25-34,Millennial,0873215242,88529753-8936,890,2024-03-07
M000643,Linda,Miller,F,1983-01-06,35-44,Millennial,0871436848,36059032-6875,4418,2022-06-05
M000644,Anthony,Martinez,M,2002-10-19,18-24,Gen Z,0828320921,24912833-8627,7513,2024-03-25
M000645,Patricia,Jones,F,1967-12-30,55+,Gen X,0895630804,92077910-3784,9471,2025-04-03
M000646,Karen,Davis,F,1992-05-15,25-34,Millennial,0873550616,72110987-5573,237,2024-12-28
M000647,James,Garcia,M,1978-05-25,45-54,Gen X,0839850909,89426243-3440,9399,2021-07-02
M000648,Thomas,Lopez,M,1974-03-01,45-54,Gen X,0867136170,81285951-7460,7852,2021-08-16
M000649,Michael,Rodriguez,M,2005-03-21,18-24,Gen Z,0864575354,39260335-3174,5872,2023-04-21
M000650,John,Davis,M,1963-10-16,55+,Boomer,0831716808,71643898-1399,7452,2024-03-28
M000651,Linda,Wilson,F,1982-04-30,35-44,Millennial,0872316725,95013818-1022,1158,2024-12-11
M000652,Robert,Miller,M,1988-03-22,35-44,Millennial,0892208524,82804407-4393,1326,2025-06-24
M000653,Christopher,Hernandez,M,1983-02-18,35-44,Millennial,0824893677,61399349-6989,7624,2025-01-12
M000654,Linda,Hernandez,F,1970-03-24,55+,Gen X,0818993381,85263692-4354,2267,2023-04-18
M000655,Matthew,Davis,M,1968-03-25,55+,Gen X,0838158070,40257672-6250,5778,2023-09-22
M000656,Elizabeth,Smith,F,2001-09-02,18-24,Gen Z,0856335527,70721529-8966,8215,2025-02-16
M000657,Sarah,Martinez,F,1982-04-06,35-44,Millennial,0818808386,35280389-8501,1430,2021-07-06
M000658,Jennifer,Johnson,F,1995-10-23,25-34,Millennial,0825035684,29858055-9131,2465,2022-09-21
M000659,Robert,Miller,M,1962-06-17,55+,Boomer,0827720413,73606441-6680,6883,2024-12-21
M000660,Robert,Brown,M,2002-02-28,18-24,Gen Z,0841182544,79742280-6503,6745,2025-06-21
M000661,Sarah,Martinez,F,1963-03-30,55+,Boomer,0881157706,83614224-8295,7503,2023-10-05
M000662,Linda,Wilson,F,1989-11-18,35-44,Millennial,0874994010,59915883-5720,775,2022-06-10
M000663,Linda,Martinez,F,1995-03-14,25-34,Millennial,0881848989,48285148-3986,2873,2022-03-08
M000664,John,Garcia,M,1970-01-14,55+,Gen X,0869175071,44951262-7056,3022,2022-09-23
M000665,Matthew,Garcia,M,1983-12-31,35-44,Millennial,0860051795,70187134-9845,2663,2025-05-04
M000666,Richard,Davis,M,1996-07-21,25-34,Millennial,0852978923,30945115-1070,8948,2025-06-21
M000667,Sarah,Jones,F,1969-04-12,55+,Gen X,0829741209,85864089-8243,5549,2021-12-16
M000668,David,Hernandez,M,1971-01-19,55+,Gen X,0851350093,13328008-7580,3610,2024-06-03
M000669,Mary,Martinez,F,1964-12-11,55+,Boomer,0888306842,80656754-4639,4553,2022-01-03
M000670,Lisa,Hernandez,F,2000-06-22,25-34,Gen Z,0862938641,36098642-9035,5206,2025-10-17
M000671,Matthew,Garcia,M,1980-12-31,45-54,Gen X,0867396933,59610894-7326,6108,2021-05-12
M000672,Elizabeth,Davis,F,1971-02-03,55+,Gen X,0838950113,69622247-7809,7249,2023-03-26
M000673,Betty,Miller,F,1997-05-16,25-34,Gen Z,0890253572,21553190-3353,3404,2023-08-28
M000674,Jennifer,Martinez,F,1982-01-30,35-44,Millennial,0810888369,64956876-5478,6791,2022-09-15
M000675,James,Williams,M,1981-10-19,35-44,Millennial,0884338760,75845287-1691,4947,2025-05-16
M000676,Patricia,Smith,F,2005-12-22,18-24,Gen Z,0845255913,50288055-8742,2034,2023-07-06
M000677,Betty,Hernandez,F,1991-02-28,35-44,Millennial,0826019511,47207440-9078,1093,2025-12-12
M000678,Nancy,Miller,F,1989-04-27,35-44,Millennial,0873893102,26050250-7114,8397,2025-01-28
M000679,Linda,Martinez,F,2002-12-27,18-24,Gen Z,0852906872,71880273-3219,5855,2022-01-09
M000680,Jessica,Hernandez,F,1984-02-20,35-44,Millennial,0848903840,49146492-9677,1258,2025-04-25
M000681,Mark,Johnson,M,1967-12-25,55+,Gen X,0882975834,53299559-6180,4932,2023-11-23
M000682,Jennifer,Rodriguez,F,1968-09-20,55+,Gen X,0829289438,11731095-3243,8489,2023-06-25
M000683,Jessica,Garcia,F,1996-01-20,25-34,Millennial,0839242850,30744009-9247,3622,2022-09-20
M000684,Richard,Davis,M,2002-01-11,18-24,Gen Z,0827613681,12332623-8856,5705,2023-12-12
M000685,Thomas,Martinez,M,1972-09-24,45-54,Gen X,0833113253,50894029-1471,1943,2022-03-28
M000686,Anthony,Brown,M,1987-01-10,35-44,Millennial,0838164383,27477597-2287,6960,2021-02-01
M000687,Margaret,Miller,F,2003-12-01,18-24,Gen Z,0824471004,14401363-9412,9718,2021-08-04
M000688,Mary,Johnson,F,1986-04-08,35-44,Millennial,0811378737,22952493-3028,9859,2022-10-07
M000689,Matthew,Garcia,M,2005-01-23,18-24,Gen Z,0829536326,47228730-6698,5770,2022-09-25
M000690,Christopher,Martinez,M,2002-01-20,18-24,Gen Z,0887595788,11876942-9664,3555,2022-05-06
M000691,Anthony,Johnson,M,1992-06-28,25-34,Millennial,0873715236,59185834-4033,7203,2021-03-27
M000692,Jessica,Miller,F,1992-06-23,25-34,Millennial,0840541809,64704189-2848,5149,2021-08-04
M000693,Thomas,Wilson,M,1982-03-21,35-44,Millennial,0848691113,84777007-1665,1347,2023-08-04
M000694,Elizabeth,Davis,F,1967-10-12,55+,Gen X,0869586748,40316218-7672,4761,2024-04-28
M000695,Mark,Davis,M,1962-09-14,55+,Boomer,0834064874,11716086-9055,1723,2024-08-17
M000696,Michael,Williams,M,1980-08-23,45-54,Gen X,0889263249,23652916-3764,1060,2023-04-11
M000697,Daniel,Anderson,M,1981-01-13,45-54,Millennial,0841255233,67002833-9177,4563,2025-10-09
M000698,Susan,Davis,F,1963-05-17,55+,Boomer,0864283500,75032899-9379,4569,2022-08-04
M000699,Robert,Davis,M,1974-11-20,45-54,Gen X,0894338531,28066831-1486,1631,2021-02-16
M000700,David,Miller,M,1967-04-07,55+,Gen X,0853883276,30499966-5960,1578,2021-11-25
M000701,Margaret,Davis,F,1993-10-14,25-34,Millennial,0898864649,76826878-9032,8270,2023-09-11
M000702,Mark,Smith,M,1979-01-16,45-54,Gen X,0861489930,70413482-6153,6165,2024-08-02
M000703,David,Rodriguez,M,1963-10-17,55+,Boomer,0832031067,75965276-8056,2203,2023-12-13
M000704,Margaret,Johnson,F,1969-04-08,55+,Gen X,0875841004,98594248-9837,9375,2024-08-18
M000705,Christopher,Smith,M,1980-11-02,45-54,Gen X,0876396319,89328732-7189,5779,2023-06-02
M000706,Daniel,Smith,M,1997-09-06,25-34,Gen Z,0856825449,88378721-1440,5591,2024-02-14
M000707,Susan,Miller,F,1984-02-16,35-44,Millennial,0898750131,42779846-5056,3844,2023-10-03
M000708,Robert,Johnson,M,1984-12-19,35-44,Millennial,0812645698,82265081-6343,612,2024-11-28
M000709,Nancy,Rodriguez,F,1979-11-01,45-54,Gen X,0812738346,73042053-1364,5185,2024-10-13
M000710,Nancy,Johnson,F,1975-01-26,45-54,Gen X,0837636546,55092789-9138,8237,2023-03-20
M000711,Susan,Miller,F,1993-07-02,25-34,Millennial,0895287876,20109437-9779,3507,2023-05-02
M000712,Nancy,Miller,F,1991-04-29,25-34,Millennial,0822342371,87603784-2552,9697,2023-05-03
M000713,Jessica,Brown,F,1984-02-05,35-44,Millennial,0897447790,50513220-9268,4913,2024-11-18
M000714,Patricia,Miller,F,1980-11-08,45-54,Gen X,0893881231,79171687-8425,8971,2022-01-21
M000715,Daniel,Davis,M,1992-04-09,25-34,Millennial,0872719315,45961754-9728,7106,2025-12-21
M000716,Christopher,Brown,M,1982-07-23,35-44,Millennial,0829829822,42262445-3465,4919,2024-07-11
M000717,Matthew,Brown,M,1979-11-01,45-54,Gen X,0848526473,96710377-3631,4201,2025-04-13
M000718,Michael,Williams,M,1994-02-27,25-34,Millennial,0842962076,51680049-8604,7952,2025-07-14
M000719,James,Williams,M,1989-01-04,35-44,Millennial,0813911355,44681437-5551,9022,2022-11-28
M000720,Anthony,Davis,M,2005-02-10,18-24,Gen Z,0821264832,52131585-5882,1041,2024-06-22
M000721,Richard,Anderson,M,1997-11-12,25-34,Gen Z,0825023307,86634749-9196,1976,2025-11-27
M000722,Sarah,Johnson,F,1990-05-11,35-44,Millennial,0826411718,52065222-6395,9573,2024-12-24
M000723,Richard,Brown,M,1997-01-17,25-34,Gen Z,0833508806,38737174-5498,7200,2024-05-28
M000724,Thomas,Rodriguez,M,1982-03-23,35-44,Millennial,0825161415,52478561-9941,6943,2024-11-08
M000725,Margaret,Williams,F,1982-07-16,35-44,Millennial,0859357131,51362065-1345,9925,2021-12-22
M000726,Anthony,Wilson,M,1963-11-19,55+,Boomer,0843954789,84185883-7302,5067,2023-11-04
M000727,Thomas,Miller,M,2005-08-21,18-24,Gen Z,0844297151,50384524-2478,3857,2023-04-28
M000728,Thomas,Hernandez,M,1985-04-20,35-44,Millennial,0864531161,14547522-5489,1312,2024-08-24
M000729,Susan,Lopez,F,1979-01-25,45-54,Gen X,0831520919,45026810-9295,1087,2023-07-20
M000730,Sarah,Lopez,F,2005-02-12,18-24,Gen Z,0896083599,96113089-4010,7264,2022-01-13
M000731,Matthew,Jones,M,1985-05-25,35-44,Millennial,0821036999,24875109-3585,4089,2025-12-25
M000732,Daniel,Hernandez,M,1979-10-05,45-54,Gen X,0870597948,74205127-3187,4270,2022-11-19
M000733,Margaret,Jones,F,1994-01-29,25-34,Millennial,0865632768,59338378-3980,6447,2024-10-08
M000734,John,Rodriguez,M,1964-05-11,55+,Boomer,0894104500,40696566-2457,7576,2022-05-23
M000735,John,Miller,M,1966-08-13,55+,Gen X,0890583348,44917786-3445,1459,2023-03-19
M000736,John,Lopez,M,1972-08-08,45-54,Gen X,0870895638,76323560-2941,3677,2022-04-28
M000737,Elizabeth,Lopez,F,1974-09-04,45-54,Gen X,0827475058,67889258-4385,9831,2022-05-24
M000738,Richard,Williams,M,1980-01-02,45-54,Gen X,0813861862,48949039-5289,3858,2025-08-08
M000739,Nancy,Hernandez,F,1964-07-29,55+,Boomer,0821507650,11385159-8682,2182,2023-12-13
M000740,Anthony,Miller,M,1960-08-17,55+,Boomer,0890154282,44390017-2196,1561,2025-01-02
M000741,Patricia,Davis,F,1983-05-10,35-44,Millennial,0890293348,16108500-1087,4155,2025-10-13
M000742,Jessica,Hernandez,F,1983-01-08,35-44,Millennial,0885102924,15519702-3938,4264,2022-09-16
M000743,Sarah,Williams,F,2000-09-30,25-34,Gen Z,0881192277,68106835-3323,4266,2021-06-02
M000744,Thomas,Anderson,M,1988-09-11,35-44,Millennial,0867725168,47973618-5312,4321,2025-06-14
M000745,William,Lopez,M,1974-12-31,45-54,Gen X,0884581396,98237348-8208,871,2022-03-02
M000746,David,Smith,M,1975-11-05,45-54,Gen X,0831951974,72697508-8150,1900,2024-01-15
M000747,Betty,Rodriguez,F,1974-07-27,45-54,Gen X,0876167803,25098270-3425,2025,2023-02-07
M000748,Linda,Anderson,F,1995-06-26,25-34,Millennial,0846613462,85597784-4479,9560,2021-09-25
M000749,Richard,Johnson,M,1990-07-02,35-44,Millennial,0822657432,54111700-1425,4657,2021-07-12
M000750,William,Williams,M,2005-01-28,18-24,Gen Z,0871771451,98521869-8861,7439,2023-10-22
M000751,William,Smith,M,1964-05-06,55+,Boomer,0870814320,53609415-3118,3463,2021-11-10
M000752,Margaret,Smith,F,2001-06-04,18-24,Gen Z,0890838200,61189424-2516,6534,2023-03-08
M000753,Jennifer,Smith,F,1992-12-20,25-34,Millennial,0862143976,64008708-5668,2525,2021-05-16
M000754,Betty,Wilson,F,1986-03-30,35-44,Millennial,0891002225,27620998-6882,1574,2023-09-07
M000755,Sarah,Miller,F,1975-11-01,45-54,Gen X,0885572241,90576371-7931,1478,2024-06-20
M000756,Richard,Hernandez,M,1979-01-29,45-54,Gen X,0815427508,78899524-6599,7594,2022-11-22
M000757,Thomas,Rodriguez,M,1965-04-23,55+,Gen X,0880421060,21270276-5762,7671,2024-02-26
M000758,Elizabeth,Williams,F,1997-03-27,25-34,Gen Z,0850320166,43373708-9570,7007,2023-10-02
M000759,John,Rodriguez,M,1999-06-24,25-34,Gen Z,0867030927,65434526-2548,7612,2025-05-12
M000760,Nancy,Johnson,F,1974-03-10,45-54,Gen X,0825292162,98795539-8583,2941,2022-07-02
M000761,Richard,Lopez,M,1986-10-06,35-44,Millennial,0888813775,71068817-8371,4342,2023-03-07
M000762,Michael,Lopez,M,1967-11-08,55+,Gen X,0824271459,68223505-9755,293,2021-07-04
