Member_ID,YEAR,YEAR_SORT,TotalSpend,TotalQty,TotalTxn,MaxSaleDate,FirstPurchaseDate,Point_Range,Total_point,GENDER,Generation,MOBILE_NO,FIRST_NAME,LAST_NAME,BIRTHDATE,UUID,Age_Range,Year_End,Mode_ProductCategory,Cumulative_TotalTxn,Active_Years_Count,Cumulative_Last_Txn,LAP_Days,Recency_Text
M000503,2024,2024,867.16,7.0,7.0,2024-12-08,2021-04-06,"5,001+",6084,M,Gen X,873789750,John,Smith,1968-03-31,90022258-3539,55+,2024-12-31,Coffee,28,4,2024-12-08,23.0,Active
M000503,2025,2025,1398.37,27.0,9.0,2025-03-14,2021-04-06,"5,001+",6084,M,Gen X,873789750,John,Smith,1968-03-31,90022258-3539,55+,2025-03-28,Sandwich,37,5,2025-03-14,14.0,Active
M000504,2021,2021,0.0,0.0,0.0,,2022-12-18,"5,001+",5824,F,Gen X,893903841,Jennifer,Hernandez,1966-09-28,18060088-1979,55+,2021-12-31,,0,0,,,Never Purchased
M000504,2022,2022,1796.18,28.0,14.0,2022-12-18,2022-12-18,"5,001+",5824,F,Gen X,893903841,Jennifer,Hernandez,1966-09-28,18060088-1979,55+,2022-12-31,Dessert,14,1,2022-12-18,13.0,Active
M000504,2023,2023,5071.38,36.0,18.0,2023-12-07,2022-12-18,"5,001+",5824,F,Gen X,893903841,Jennifer,Hernandez,1966-09-28,18060088-1979,55+,2023-12-31,Beverage,32,2,2023-12-07,24.0,Active
M000504,2024,2024,742.0,13.0,13.0,2024-12-18,2022-12-18,"5,001+",5824,F,Gen X,893903841,Jennifer,Hernandez,1966-09-28,18060088-1979,55+,2024-12-31,Pastry,45,3,2024-12-18,13.0,Active
M000504,2025,2025,2032.23,57.0,19.0,2025-03-24,2022-12-18,"5,001+",5824,F,Gen X,893903841,Jennifer,Hernandez,1966-09-28,18060088-1979,55+,2025-03-28,Pastry,64,4,2025-03-24,4.0,Active
M000505,2021,2021,0.0,0.0,0.0,,2022-01-23,"5,001+",7187,M,Millennial,884940527,David,Davis,1991-10-03,96522918-6690,25-34,2021-12-31,,0,0,,,Never Purchased
M000505,2022,2022,970.82,10.0,5.0,2022-12-06,2022-01-23,"5,001+",7187,M,Millennial,884940527,David,Davis,1991-10-03,96522918-6690,25-34,2022-12-31,Merchandise,5,1,2022-12-06,25.0,Active
M000505,2023,2023,784.04,30.0,10.0,2023-12-21,2022-01-23,"5,001+",7187,M,Millennial,884940527,David,Davis,1991-10-03,96522918-6690,25-34,2023-12-31,Pastry,15,2,2023-12-21,10.0,Active
M000505,2024,2024,662.29,10.0,5.0,2024-12-08,2022-01-23,"5,001+",7187,M,Millennial,884940527,David,Davis,1991-10-03,96522918-6690,25-34,2024-12-31,Sandwich,20,3,2024-12-08,23.0,Active
M000505,2025,2025,0.0,0.0,0.0,,2022-01-23,"5,001+",7187,M,Millennial,884940527,David,Davis,1991-10-03,96522918-6690,25-34,2025-03-28,,20,3,2024-12-08,110.0,At Risk
M000506,2021,2021,0.0,0.0,0.0,,2023-09-23,"5,001+",9159,F,Gen Z,815300062,Susan,Lopez,1997-11-04,75136149-8168,25-34,2021-12-31,,0,0,,,Never Purchased
M000506,2022,2022,0.0,0.0,0.0,,2023-09-23,"5,001+",9159,F,Gen Z,815300062,Susan,Lopez,1997-11-04,75136149-8168,25-34,2022-12-31,,0,0,,,Never Purchased
M000506,2023,2023,0.0,0.0,0.0,,2023-09-23,"5,001+",9159,F,Gen Z,815300062,Susan,Lopez,1997-11-04,75136149-8168,25-34,2023-12-31,,0,0,,,Never Purchased
M000506,2024,2024,352.45,5.0,5.0,2024-12-15,2023-09-23,"5,001+",9159,F,Gen Z,815300062,Susan,Lopez,1997-11-04,75136149-8168,25-34,2024-12-31,Pastry,5,1,2024-12-15,16.0,Active
M000506,2025,2025,718.59,4.0,4.0,2025-03-01,2023-09-23,"5,001+",9159,F,Gen Z,815300062,Susan,Lopez,1997-11-04,75136149-8168,25-34,2025-03-28,Coffee,9,2,2025-03-01,27.0,Active
M000507,2021,2021,0.0,0.0,0.0,,2025-09-06,"2,001-5,000",4510,F,Millennial,856662763,Patricia,Martinez,1994-06-08,53443711-8674,25-34,2021-12-31,,0,0,,,Never Purchased
M000507,2022,2022,0.0,0.0,0.0,,2025-09-06,"2,001-5,000",4510,F,Millennial,856662763,Patricia,Martinez,1994-06-08,53443711-8674,25-34,2022-12-31,,0,0,,,Never Purchased
M000507,2023,2023,0.0,0.0,0.0,,2025-09-06,"2,001-5,000",4510,F,Millennial,856662763,Patricia,Martinez,1994-06-08,53443711-8674,25-34,2023-12-31,,0,0,,,Never Purchased
M000507,2024,2024,0.0,0.0,0.0,,2025-09-06,"2,001-5,000",4510,F,Millennial,856662763,Patricia,Martinez,1994-06-08,53443711-8674,25-34,2024-12-31,,0,0,,,Never Purchased
M000507,2025,2025,6658.81,102.0,34.0,2025-03-13,2025-09-06,"2,001-5,000",4510,F,Millennial,856662763,Patricia,Martinez,1994-06-08,53443711-8674,25-34,2025-03-28,Merchandise,34,1,2025-03-13,15.0,Active
M000508,2021,2021,3727.87,34.0,17.0,2021-12-17,2021-11-17,"5,001+",7439,M,Gen X,845346140,Christopher,Williams,1977-10-17,82693120-7014,45-54,2021-12-31,Dessert,17,1,2021-12-17,14.0,Active
M000508,2022,2022,2034.2,54.0,18.0,2022-12-19,2021-11-17,"5,001+",7439,M,Gen X,845346140,Christopher,Williams,1977-10-17,82693120-7014,45-54,2022-12-31,Beverage,35,2,2022-12-19,12.0,Active
M000508,2023,2023,3081.78,57.0,19.0,2023-12-20,2021-11-17,"5,001+",7439,M,Gen X,845346140,Christopher,Williams,1977-10-17,82693120-7014,45-54,2023-12-31,Coffee,54,3,2023-12-20,11.0,Active
M000508,2024,2024,2071.0,12.0,12.0,2024-12-04,2021-11-17,"5,001+",7439,M,Gen X,845346140,Christopher,Williams,1977-10-17,82693120-7014,45-54,2024-12-31,Sandwich,66,4,2024-12-04,27.0,Active
M000508,2025,2025,4751.38,32.0,16.0,2025-03-12,2021-11-17,"5,001+",7439,M,Gen X,845346140,Christopher,Williams,1977-10-17,82693120-7014,45-54,2025-03-28,Dessert,82,5,2025-03-12,16.0,Active
M000509,2021,2021,6794.47,111.0,37.0,2021-12-04,2021-11-18,"5,001+",5254,F,Gen Z,858865345,Betty,Williams,2004-04-27,93241474-4912,18-24,2021-12-31,Coffee,37,1,2021-12-04,27.0,Active
M000509,2022,2022,7278.62,35.0,35.0,2022-12-22,2021-11-18,"5,001+",5254,F,Gen Z,858865345,Betty,Williams,2004-04-27,93241474-4912,18-24,2022-12-31,Merchandise,72,2,2022-12-22,9.0,Active
M000509,2023,2023,3462.88,47.0,47.0,2023-12-14,2021-11-18,"5,001+",5254,F,Gen Z,858865345,Betty,Williams,2004-04-27,93241474-4912,18-24,2023-12-31,Pastry,119,3,2023-12-14,17.0,Active
M000509,2024,2024,4131.24,75.0,25.0,2024-12-12,2021-11-18,"5,001+",5254,F,Gen Z,858865345,Betty,Williams,2004-04-27,93241474-4912,18-24,2024-12-31,Sandwich,144,4,2024-12-12,19.0,Active
M000509,2025,2025,6667.09,75.0,25.0,2025-03-14,2021-11-18,"5,001+",5254,F,Gen Z,858865345,Betty,Williams,2004-04-27,93241474-4912,18-24,2025-03-28,Coffee,169,5,2025-03-14,14.0,Active
M000510,2021,2021,0.0,0.0,0.0,,2024-11-11,"5,001+",5285,F,Boomer,884016756,Patricia,Rodriguez,1962-07-10,30687181-5638,55+,2021-12-31,,0,0,,,Never Purchased
M000510,2022,2022,0.0,0.0,0.0,,2024-11-11,"5,001+",5285,F,Boomer,884016756,Patricia,Rodriguez,1962-07-10,30687181-5638,55+,2022-12-31,,0,0,,,Never Purchased
M000510,2023,2023,0.0,0.0,0.0,,2024-11-11,"5,001+",5285,F,Boomer,884016756,Patricia,Rodriguez,1962-07-10,30687181-5638,55+,2023-12-31,,0,0,,,Never Purchased
M000510,2024,2024,2136.82,42.0,14.0,2024-12-16,2024-11-11,"5,001+",5285,F,Boomer,884016756,Patricia,Rodriguez,1962-07-10,30687181-5638,55+,2024-12-31,Dessert,14,1,2024-12-16,15.0,Active
M000510,2025,2025,2857.75,33.0,11.0,2025-03-07,2024-11-11,"5,001+",5285,F,Boomer,884016756,Patricia,Rodriguez,1962-07-10,30687181-5638,55+,2025-03-28,Dessert,25,2,2025-03-07,21.0,Active
M000511,2021,2021,0.0,0.0,0.0,,2022-02-16,"501-1,000",512,M,Boomer,815875684,Michael,Rodriguez,1964-02-15,27418007-3926,55+,2021-12-31,,0,0,,,Never Purchased
M000511,2022,2022,2120.68,30.0,10.0,2022-12-19,2022-02-16,"501-1,000",512,M,Boomer,815875684,Michael,Rodriguez,1964-02-15,27418007-3926,55+,2022-12-31,Coffee,10,1,2022-12-19,12.0,Active
M000511,2023,2023,371.04,18.0,6.0,2023-12-25,2022-02-16,"501-1,000",512,M,Boomer,815875684,Michael,Rodriguez,1964-02-15,27418007-3926,55+,2023-12-31,Pastry,16,2,2023-12-25,6.0,Active
M000511,2024,2024,346.07,10.0,5.0,2024-12-16,2022-02-16,"501-1,000",512,M,Boomer,815875684,Michael,Rodriguez,1964-02-15,27418007-3926,55+,2024-12-31,Sandwich,21,3,2024-12-16,15.0,Active
M000511,2025,2025,0.0,0.0,0.0,,2022-02-16,"501-1,000",512,M,Boomer,815875684,Michael,Rodriguez,1964-02-15,27418007-3926,55+,2025-03-28,,21,3,2024-12-16,102.0,At Risk
M000512,2021,2021,0.0,0.0,0.0,,2025-12-19,"5,001+",8615,M,Gen X,862156850,Michael,Smith,1969-04-25,98304696-9026,55+,2021-12-31,,0,0,,,Never Purchased
M000512,2022,2022,0.0,0.0,0.0,,2025-12-19,"5,001+",8615,M,Gen X,862156850,Michael,Smith,1969-04-25,98304696-9026,55+,2022-12-31,,0,0,,,Never Purchased
M000512,2023,2023,0.0,0.0,0.0,,2025-12-19,"5,001+",8615,M,Gen X,862156850,Michael,Smith,1969-04-25,98304696-9026,55+,2023-12-31,,0,0,,,Never Purchased
M000512,2024,2024,0.0,0.0,0.0,,2025-12-19,"5,001+",8615,M,Gen X,862156850,Michael,Smith,1969-04-25,98304696-9026,55+,2024-12-31,,0,0,,,Never Purchased
M000512,2025,2025,2004.95,8.0,8.0,2025-03-23,2025-12-19,"5,001+",8615,M,Gen X,862156850,Michael,Smith,1969-04-25,98304696-9026,55+,2025-03-28,Pastry,8,1,2025-03-23,5.0,Active
M000513,2021,2021,1592.07,23.0,23.0,2021-12-20,2021-08-26,"5,001+",8051,F,Millennial,819512542,Mary,Garcia,1991-05-08,11756387-4419,25-34,2021-12-31,Dessert,23,1,2021-12-20,11.0,Active
M000513,2022,2022,9065.97,38.0,38.0,2022-12-02,2021-08-26,"5,001+",8051,F,Millennial,819512542,Mary,Garcia,1991-05-08,11756387-4419,25-34,2022-12-31,Sandwich,61,2,2022-12-02,29.0,Active
M000513,2023,2023,5090.74,46.0,46.0,2023-12-22,2021-08-26,"5,001+",8051,F,Millennial,819512542,Mary,Garcia,1991-05-08,11756387-4419,25-34,2023-12-31,Pastry,107,3,2023-12-22,9.0,Active
M000513,2024,2024,6144.39,86.0,43.0,2024-12-25,2021-08-26,"5,001+",8051,F,Millennial,819512542,Mary,Garcia,1991-05-08,11756387-4419,25-34,2024-12-31,Sandwich,150,4,2024-12-25,6.0,Active
M000513,2025,2025,4658.23,90.0,30.0,2025-03-27,2021-08-26,"5,001+",8051,F,Millennial,819512542,Mary,Garcia,1991-05-08,11756387-4419,25-34,2025-03-28,Pastry,180,5,2025-03-27,1.0,Active
M000514,2021,2021,4552.9,57.0,19.0,2021-12-04,2021-12-03,"5,001+",8667,M,Gen X,817824896,William,Rodriguez,1979-09-10,92803389-5355,45-54,2021-12-31,Pastry,19,1,2021-12-04,27.0,Active
M000514,2022,2022,1462.4,42.0,14.0,2022-12-21,2021-12-03,"5,001+",8667,M,Gen X,817824896,William,Rodriguez,1979-09-10,92803389-5355,45-54,2022-12-31,Pastry,33,2,2022-12-21,10.0,Active
M000514,2023,2023,0.0,0.0,0.0,,2021-12-03,"5,001+",8667,M,Gen X,817824896,William,Rodriguez,1979-09-10,92803389-5355,45-54,2023-12-31,,33,2,2022-12-21,375.0,Dormant
M000514,2024,2024,2392.3,15.0,15.0,2024-12-09,2021-12-03,"5,001+",8667,M,Gen X,817824896,William,Rodriguez,1979-09-10,92803389-5355,45-54,2024-12-31,Coffee,48,3,2024-12-09,22.0,Active
M000514,2025,2025,2272.95,24.0,12.0,2025-03-03,2021-12-03,"5,001+",8667,M,Gen X,817824896,William,Rodriguez,1979-09-10,92803389-5355,45-54,2025-03-28,Merchandise,60,4,2025-03-03,25.0,Active
M000515,2021,2021,0.0,0.0,0.0,,2022-04-17,"5,001+",6313,F,Gen X,823586205,Jennifer,Brown,1973-01-28,41006711-9710,45-54,2021-12-31,,0,0,,,Never Purchased
M000515,2022,2022,800.73,6.0,3.0,2022-12-06,2022-04-17,"5,001+",6313,F,Gen X,823586205,Jennifer,Brown,1973-01-28,41006711-9710,45-54,2022-12-31,Coffee,3,1,2022-12-06,25.0,Active
M000515,2023,2023,193.93,6.0,2.0,2023-12-26,2022-04-17,"5,001+",6313,F,Gen X,823586205,Jennifer,Brown,1973-01-28,41006711-9710,45-54,2023-12-31,Coffee,5,2,2023-12-26,5.0,Active
M000515,2024,2024,0.0,0.0,0.0,,2022-04-17,"5,001+",6313,F,Gen X,823586205,Jennifer,Brown,1973-01-28,41006711-9710,45-54,2024-12-31,,5,2,2023-12-26,371.0,Dormant
M000515,2025,2025,697.51,10.0,5.0,2025-03-04,2022-04-17,"5,001+",6313,F,Gen X,823586205,Jennifer,Brown,1973-01-28,41006711-9710,45-54,2025-03-28,Pastry,10,3,2025-03-04,24.0,Active
M000516,2021,2021,0.0,0.0,0.0,,2023-11-15,"5,001+",9446,M,Millennial,884912498,Daniel,Hernandez,1994-06-01,65725133-2728,25-34,2021-12-31,,0,0,,,Never Purchased
M000516,2022,2022,0.0,0.0,0.0,,2023-11-15,"5,001+",9446,M,Millennial,884912498,Daniel,Hernandez,1994-06-01,65725133-2728,25-34,2022-12-31,,0,0,,,Never Purchased
M000516,2023,2023,647.92,10.0,5.0,2023-12-04,2023-11-15,"5,001+",9446,M,Millennial,884912498,Daniel,Hernandez,1994-06-01,65725133-2728,25-34,2023-12-31,Sandwich,5,1,2023-12-04,27.0,Active
M000516,2024,2024,110.59,3.0,1.0,2024-12-25,2023-11-15,"5,001+",9446,M,Millennial,884912498,Daniel,Hernandez,1994-06-01,65725133-2728,25-34,2024-12-31,Beverage,6,2,2024-12-25,6.0,Active
M000516,2025,2025,1171.1,15.0,5.0,2025-03-25,2023-11-15,"5,001+",9446,M,Millennial,884912498,Daniel,Hernandez,1994-06-01,65725133-2728,25-34,2025-03-28,Dessert,11,3,2025-03-25,3.0,Active
M000517,2021,2021,0.0,0.0,0.0,,2025-10-15,"2,001-5,000",2591,F,Millennial,863896091,Jennifer,Williams,1994-06-05,77738718-6529,25-34,2021-12-31,,0,0,,,Never Purchased
M000517,2022,2022,0.0,0.0,0.0,,2025-10-15,"2,001-5,000",2591,F,Millennial,863896091,Jennifer,Williams,1994-06-05,77738718-6529,25-34,2022-12-31,,0,0,,,Never Purchased
M000517,2023,2023,0.0,0.0,0.0,,2025-10-15,"2,001-5,000",2591,F,Millennial,863896091,Jennifer,Williams,1994-06-05,77738718-6529,25-34,2023-12-31,,0,0,,,Never Purchased
M000517,2024,2024,0.0,0.0,0.0,,2025-10-15,"2,001-5,000",2591,F,Millennial,863896091,Jennifer,Williams,1994-06-05,77738718-6529,25-34,2024-12-31,,0,0,,,Never Purchased
M000517,2025,2025,0.0,0.0,0.0,,2025-10-15,"2,001-5,000",2591,F,Millennial,863896091,Jennifer,Williams,1994-06-05,77738718-6529,25-34,2025-03-28,,0,0,,,Never Purchased
M000518,2021,2021,0.0,0.0,0.0,,2025-04-19,"5,001+",5299,F,Millennial,865343779,Susan,Rodriguez,1985-09-06,94992144-8054,35-44,2021-12-31,,0,0,,,Never Purchased
M000518,2022,2022,0.0,0.0,0.0,,2025-04-19,"5,001+",5299,F,Millennial,865343779,Susan,Rodriguez,1985-09-06,94992144-8054,35-44,2022-12-31,,0,0,,,Never Purchased
M000518,2023,2023,0.0,0.0,0.0,,2025-04-19,"5,001+",5299,F,Millennial,865343779,Susan,Rodriguez,1985-09-06,94992144-8054,35-44,2023-12-31,,0,0,,,Never Purchased
M000518,2024,2024,0.0,0.0,0.0,,2025-04-19,"5,001+",5299,F,Millennial,865343779,Susan,Rodriguez,1985-09-06,94992144-8054,35-44,2024-12-31,,0,0,,,Never Purchased
M000518,2025,2025,3786.75,28.0,14.0,2025-03-19,2025-04-19,"5,001+",5299,F,Millennial,865343779,Susan,Rodriguez,1985-09-06,94992144-8054,35-44,2025-03-28,Dessert,14,1,2025-03-19,9.0,Active
M000519,2021,2021,11146.66,80.0,40.0,2021-12-02,2021-12-02,"5,001+",6505,M,Gen X,858319528,Richard,Wilson,1970-11-09,70720566-8331,55+,2021-12-31,Dessert,40,1,2021-12-02,29.0,Active
M000519,2022,2022,10395.88,117.0,39.0,2022-12-23,2021-12-02,"5,001+",6505,M,Gen X,858319528,Richard,Wilson,1970-11-09,70720566-8331,55+,2022-12-31,Coffee,79,2,2022-12-23,8.0,Active
M000519,2023,2023,5286.22,40.0,40.0,2023-12-25,2021-12-02,"5,001+",6505,M,Gen X,858319528,Richard,Wilson,1970-11-09,70720566-8331,55+,2023-12-31,Coffee,119,3,2023-12-25,6.0,Active
M000519,2024,2024,2398.88,36.0,36.0,2024-12-07,2021-12-02,"5,001+",6505,M,Gen X,858319528,Richard,Wilson,1970-11-09,70720566-8331,55+,2024-12-31,Pastry,155,4,2024-12-07,24.0,Active
M000519,2025,2025,9925.17,35.0,35.0,2025-03-15,2021-12-02,"5,001+",6505,M,Gen X,858319528,Richard,Wilson,1970-11-09,70720566-8331,55+,2025-03-28,Coffee,190,5,2025-03-15,13.0,Active
M000520,2021,2021,0.0,0.0,0.0,,2022-06-01,"2,001-5,000",3635,F,Gen X,850512501,Nancy,Smith,1973-01-08,10881653-5920,45-54,2021-12-31,,0,0,,,Never Purchased
M000520,2022,2022,339.41,2.0,2.0,2022-12-08,2022-06-01,"2,001-5,000",3635,F,Gen X,850512501,Nancy,Smith,1973-01-08,10881653-5920,45-54,2022-12-31,Merchandise,2,1,2022-12-08,23.0,Active
M000520,2023,2023,279.97,3.0,1.0,2023-12-10,2022-06-01,"2,001-5,000",3635,F,Gen X,850512501,Nancy,Smith,1973-01-08,10881653-5920,45-54,2023-12-31,Pastry,3,2,2023-12-10,21.0,Active
M000520,2024,2024,525.49,6.0,2.0,2024-12-09,2022-06-01,"2,001-5,000",3635,F,Gen X,850512501,Nancy,Smith,1973-01-08,10881653-5920,45-54,2024-12-31,Coffee,5,3,2024-12-09,22.0,Active
M000520,2025,2025,536.92,15.0,5.0,2025-03-26,2022-06-01,"2,001-5,000",3635,F,Gen X,850512501,Nancy,Smith,1973-01-08,10881653-5920,45-54,2025-03-28,Coffee,10,4,2025-03-26,2.0,Active
M000521,2021,2021,0.0,0.0,0.0,,2024-06-05,"501-1,000",618,F,Gen X,886720441,Karen,Rodriguez,1970-05-31,30765467-2544,55+,2021-12-31,,0,0,,,Never Purchased
M000521,2022,2022,0.0,0.0,0.0,,2024-06-05,"501-1,000",618,F,Gen X,886720441,Karen,Rodriguez,1970-05-31,30765467-2544,55+,2022-12-31,,0,0,,,Never Purchased
M000521,2023,2023,0.0,0.0,0.0,,2024-06-05,"501-1,000",618,F,Gen X,886720441,Karen,Rodriguez,1970-05-31,30765467-2544,55+,2023-12-31,,0,0,,,Never Purchased
M000521,2024,2024,1400.28,6.0,6.0,2024-12-14,2024-06-05,"501-1,000",618,F,Gen X,886720441,Karen,Rodriguez,1970-05-31,30765467-2544,55+,2024-12-31,Sandwich,6,1,2024-12-14,17.0,Active
M000521,2025,2025,1364.45,5.0,5.0,2025-03-04,2024-06-05,"501-1,000",618,F,Gen X,886720441,Karen,Rodriguez,1970-05-31,30765467-2544,55+,2025-03-28,Merchandise,11,2,2025-03-04,24.0,Active
M000522,2021,2021,0.0,0.0,0.0,,2025-07-19,"1,001-2,000",1505,M,Gen X,841271945,Robert,Garcia,1968-11-12,44392465-5920,55+,2021-12-31,,0,0,,,Never Purchased
M000522,2022,2022,0.0,0.0,0.0,,2025-07-19,"1,001-2,000",1505,M,Gen X,841271945,Robert,Garcia,1968-11-12,44392465-5920,55+,2022-12-31,,0,0,,,Never Purchased
M000522,2023,2023,0.0,0.0,0.0,,2025-07-19,"1,001-2,000",1505,M,Gen X,841271945,Robert,Garcia,1968-11-12,44392465-5920,55+,2023-12-31,,0,0,,,Never Purchased
M000522,2024,2024,0.0,0.0,0.0,,2025-07-19,"1,001-2,000",1505,M,Gen X,841271945,Robert,Garcia,1968-11-12,44392465-5920,55+,2024-12-31,,0,0,,,Never Purchased
M000522,2025,2025,644.34,14.0,7.0,2025-03-25,2025-07-19,"1,001-2,000",1505,M,Gen X,841271945,Robert,Garcia,1968-11-12,44392465-5920,55+,2025-03-28,Dessert,7,1,2025-03-25,3.0,Active
M000523,2021,2021,0.0,0.0,0.0,,2023-01-24,"5,001+",9752,M,Millennial,833206579,Anthony,Johnson,1985-07-11,75535348-2562,35-44,2021-12-31,,0,0,,,Never Purchased
M000523,2022,2022,0.0,0.0,0.0,,2023-01-24,"5,001+",9752,M,Millennial,833206579,Anthony,Johnson,1985-07-11,75535348-2562,35-44,2022-12-31,,0,0,,,Never Purchased
M000523,2023,2023,6085.81,28.0,28.0,2023-12-22,2023-01-24,"5,001+",9752,M,Millennial,833206579,Anthony,Johnson,1985-07-11,75535348-2562,35-44,2023-12-31,Coffee,28,1,2023-12-22,9.0,Active
M000523,2024,2024,7059.57,28.0,28.0,2024-12-25,2023-01-24,"5,001+",9752,M,Millennial,833206579,Anthony,Johnson,1985-07-11,75535348-2562,35-44,2024-12-31,Sandwich,56,2,2024-12-25,6.0,Active
M000523,2025,2025,0.0,0.0,0.0,,2023-01-24,"5,001+",9752,M,Millennial,833206579,Anthony,Johnson,1985-07-11,75535348-2562,35-44,2025-03-28,,56,2,2024-12-25,93.0,At Risk
M000524,2021,2021,0.0,0.0,0.0,,2022-12-21,"1,001-2,000",1974,F,Gen Z,856698401,Jennifer,Wilson,2002-09-21,68291349-7824,18-24,2021-12-31,,0,0,,,Never Purchased
M000524,2022,2022,4104.17,45.0,15.0,2022-12-03,2022-12-21,"1,001-2,000",1974,F,Gen Z,856698401,Jennifer,Wilson,2002-09-21,68291349-7824,18-24,2022-12-31,Coffee,15,1,2022-12-03,28.0,Active
M000524,2023,2023,3858.17,36.0,18.0,2023-12-11,2022-12-21,"1,001-2,000",1974,F,Gen Z,856698401,Jennifer,Wilson,2002-09-21,68291349-7824,18-24,2023-12-31,Beverage,33,2,2023-12-11,20.0,Active
M000524,2024,2024,2506.77,30.0,10.0,2024-12-10,2022-12-21,"1,001-2,000",1974,F,Gen Z,856698401,Jennifer,Wilson,2002-09-21,68291349-7824,18-24,2024-12-31,Coffee,43,3,2024-12-10,21.0,Active
M000524,2025,2025,3078.74,15.0,15.0,2025-03-20,2022-12-21,"1,001-2,000",1974,F,Gen Z,856698401,Jennifer,Wilson,2002-09-21,68291349-7824,18-24,2025-03-28,Merchandise,58,4,2025-03-20,8.0,Active
M000525,2021,2021,0.0,0.0,0.0,,2023-09-19,"501-1,000",674,M,Gen X,817264930,Matthew,Wilson,1965-09-06,50907334-9591,55+,2021-12-31,,0,0,,,Never Purchased
M000525,2022,2022,0.0,0.0,0.0,,2023-09-19,"501-1,000",674,M,Gen X,817264930,Matthew,Wilson,1965-09-06,50907334-9591,55+,2022-12-31,,0,0,,,Never Purchased
M000525,2023,2023,776.53,26.0,13.0,2023-12-10,2023-09-19,"501-1,000",674,M,Gen X,817264930,Matthew,Wilson,1965-09-06,50907334-9591,55+,2023-12-31,Merchandise,13,1,2023-12-10,21.0,Active
M000525,2024,2024,3316.41,15.0,15.0,2024-12-20,2023-09-19,"501-1,000",674,M,Gen X,817264930,Matthew,Wilson,1965-09-06,50907334-9591,55+,2024-12-31,Coffee,28,2,2024-12-20,11.0,Active
M000525,2025,2025,3180.23,24.0,12.0,2025-03-22,2023-09-19,"501-1,000",674,M,Gen X,817264930,Matthew,Wilson,1965-09-06,50907334-9591,55+,2025-03-28,Coffee,40,3,2025-03-22,6.0,Active
M000526,2021,2021,0.0,0.0,0.0,,2025-10-17,"5,001+",7300,M,Boomer,830561818,William,Rodriguez,1961-11-28,16780654-7436,55+,2021-12-31,,0,0,,,Never Purchased
M000526,2022,2022,0.0,0.0,0.0,,2025-10-17,"5,001+",7300,M,Boomer,830561818,William,Rodriguez,1961-11-28,16780654-7436,55+,2022-12-31,,0,0,,,Never Purchased
M000526,2023,2023,0.0,0.0,0.0,,2025-10-17,"5,001+",7300,M,Boomer,830561818,William,Rodriguez,1961-11-28,16780654-7436,55+,2023-12-31,,0,0,,,Never Purchased
M000526,2024,2024,0.0,0.0,0.0,,2025-10-17,"5,001+",7300,M,Boomer,830561818,William,Rodriguez,1961-11-28,16780654-7436,55+,2024-12-31,,0,0,,,Never Purchased
M000526,2025,2025,1633.01,16.0,8.0,2025-03-06,2025-10-17,"5,001+",7300,M,Boomer,830561818,William,Rodriguez,1961-11-28,16780654-7436,55+,2025-03-28,Merchandise,8,1,2025-03-06,22.0,Active
M000527,2021,2021,0.0,0.0,0.0,,2024-10-24,"1,001-2,000",1352,M,Millennial,829865888,James,Miller,1987-08-26,27742113-6507,35-44,2021-12-31,,0,0,,,Never Purchased
M000527,2022,2022,0.0,0.0,0.0,,2024-10-24,"1,001-2,000",1352,M,Millennial,829865888,James,Miller,1987-08-26,27742113-6507,35-44,2022-12-31,,0,0,,,Never Purchased
M000527,2023,2023,0.0,0.0,0.0,,2024-10-24,"1,001-2,000",1352,M,Millennial,829865888,James,Miller,1987-08-26,27742113-6507,35-44,2023-12-31,,0,0,,,Never Purchased
M000527,2024,2024,1251.26,6.0,6.0,2024-12-06,2024-10-24,"1,001-2,000",1352,M,Millennial,829865888,James,Miller,1987-08-26,27742113-6507,35-44,2024-12-31,Pastry,6,1,2024-12-06,25.0,Active
M000527,2025,2025,1581.96,20.0,10.0,2025-03-22,2024-10-24,"1,001-2,000",1352,M,Millennial,829865888,James,Miller,1987-08-26,27742113-6507,35-44,2025-03-28,Beverage,16,2,2025-03-22,6.0,Active
M000528,2021,2021,0.0,0.0,0.0,,2022-08-18,"2,001-5,000",2136,M,Millennial,863489393,Christopher,Miller,1990-01-30,77353558-8118,35-44,2021-12-31,,0,0,,,Never Purchased
M000528,2022,2022,273.49,6.0,2.0,2022-12-08,2022-08-18,"2,001-5,000",2136,M,Millennial,863489393,Christopher,Miller,1990-01-30,77353558-8118,35-44,2022-12-31,Dessert,2,1,2022-12-08,23.0,Active
M000528,2023,2023,366.08,10.0,5.0,2023-12-03,2022-08-18,"2,001-5,000",2136,M,Millennial,863489393,Christopher,Miller,1990-01-30,77353558-8118,35-44,2023-12-31,Merchandise,7,2,2023-12-03,28.0,Active
M000528,2024,2024,438.4,6.0,2.0,2024-12-27,2022-08-18,"2,001-5,000",2136,M,Millennial,863489393,Christopher,Miller,1990-01-30,77353558-8118,35-44,2024-12-31,Dessert,9,3,2024-12-27,4.0,Active
M000528,2025,2025,360.33,3.0,3.0,2025-03-21,2022-08-18,"2,001-5,000",2136,M,Millennial,863489393,Christopher,Miller,1990-01-30,77353558-8118,35-44,2025-03-28,Pastry,12,4,2025-03-21,7.0,Active
